Date,High,Low,Volume,Adj Close
2006-09-12,31.940000534057617,30.530000686645508,6527400,31.71999931335449
2006-09-13,31.959999084472656,31.3700008392334,4370400,31.670000076293945
2006-09-14,31.8700008392334,31.18000030517578,3705700,31.649999618530277
2006-09-15,32.7400016784668,31.57999992370605,10273700,32.52000045776367
2006-09-18,32.66999816894531,31.8799991607666,5123100,32.08000183105469
2006-09-19,32.29999923706055,30.81999969482422,8572000,31.57999992370605
2006-09-20,32.810001373291016,31.799999237060547,8548900,32.119998931884766
2006-09-21,32.560001373291016,30.06999969482422,15553700,30.21999931335449
2006-09-22,30.950000762939453,29.899999618530277,7249000,30.84000015258789
2006-09-25,31.96999931335449,30.739999771118164,6619600,31.790000915527344
2006-09-26,32.59000015258789,31.799999237060547,6601100,32.5
2006-09-27,32.459999084472656,31.93000030517578,5469800,32.33000183105469
2006-09-28,32.33000183105469,31.21999931335449,7499400,31.84000015258789
2006-09-29,32.34000015258789,31.540000915527344,5227200,32.119998931884766
2006-10-02,32.029998779296875,30.82999992370605,6815000,30.8700008392334
2006-10-03,32.0,30.57999992370605,8034000,31.700000762939453
2006-10-04,32.83000183105469,31.299999237060547,7064800,32.7599983215332
2006-10-05,33.400001525878906,32.400001525878906,8455900,33.31999969482422
2006-10-06,33.220001220703125,32.5,4219200,32.59000015258789
2006-10-09,33.47999954223633,32.45000076293945,5289200,33.380001068115234
2006-10-10,33.58000183105469,32.4900016784668,6333400,32.619998931884766
2006-10-11,33.150001525878906,32.27000045776367,6728500,32.90999984741211
2006-10-12,33.709999084472656,32.630001068115234,5989700,33.54999923706055
2006-10-13,33.58000183105469,33.08000183105469,4067300,33.31999969482422
2006-10-16,33.20000076293945,32.54999923706055,6769400,32.599998474121094
2006-10-17,32.61000061035156,31.75,6635700,32.470001220703125
2006-10-18,32.779998779296875,32.0,5349300,32.310001373291016
2006-10-19,32.84000015258789,32.099998474121094,4037600,32.540000915527344
2006-10-20,32.689998626708984,32.209999084472656,5839400,32.56999969482422
2006-10-23,32.90999984741211,32.13999938964844,8059300,32.880001068115234
2006-10-24,38.0,32.86000061035156,23155300,33.630001068115234
2006-10-25,37.97999954223633,36.040000915527344,46522500,37.68000030517578
2006-10-26,38.4900016784668,37.18000030517578,17073300,38.29999923706055
2006-10-27,38.380001068115234,37.65999984741211,9953400,38.2400016784668
2006-10-30,38.34000015258789,37.68000030517578,6882400,38.150001525878906
2006-10-31,38.59000015258789,37.79999923706055,6210400,38.09000015258789
2006-11-01,38.20000076293945,37.459999084472656,6668900,37.560001373291016
2006-11-02,37.77000045776367,37.11000061035156,5447300,37.45000076293945
2006-11-03,37.709999084472656,36.869998931884766,5124100,37.459999084472656
2006-11-06,38.34999847412109,37.52999877929688,4540900,38.209999084472656
2006-11-07,39.0,38.040000915527344,7745100,38.77000045776367
2006-11-08,39.47999954223633,38.459999084472656,8159900,39.470001220703125
2006-11-09,39.77000045776367,38.810001373291016,5807100,38.84000015258789
2006-11-10,39.36000061035156,38.7599983215332,4495100,39.2599983215332
2006-11-13,40.0,39.130001068115234,6944300,39.9900016784668
2006-11-14,41.66999816894531,39.619998931884766,10951300,41.5099983215332
2006-11-15,43.09999847412109,41.5,13556700,42.59999847412109
2006-11-16,42.95000076293945,42.400001525878906,11000800,42.84000015258789
2006-11-17,42.66999816894531,42.220001220703125,6530200,42.54999923706055
2006-11-20,42.54999923706055,41.93999862670898,5796400,42.43999862670898
2006-11-21,43.25,42.119998931884766,6984400,42.540000915527344
2006-11-22,42.97999954223633,42.18000030517578,4535600,42.959999084472656
2006-11-24,42.93999862670898,42.310001373291016,2241300,42.40999984741211
2006-11-27,42.79999923706055,40.720001220703125,8972800,40.84999847412109
2006-11-28,41.06999969482422,40.29999923706055,7099300,40.91999816894531
2006-11-29,41.09999847412109,40.0,7854600,40.630001068115234
2006-11-30,40.63999938964844,39.84999847412109,6346300,40.34000015258789
2006-12-01,40.540000915527344,39.09000015258789,8306100,39.40999984741211
2006-12-04,39.47999954223633,38.869998931884766,9720700,39.09999847412109
2006-12-05,39.29999923706055,38.720001220703125,5737700,38.97999954223633
2006-12-06,39.58000183105469,38.63999938964844,5776900,38.900001525878906
2006-12-07,39.09000015258789,38.04999923706055,6621500,38.119998931884766
2006-12-08,38.95000076293945,37.70000076293945,5139700,38.459999084472656
2006-12-11,39.150001525878906,38.08000183105469,4848600,38.68999862670898
2006-12-12,38.93999862670898,38.150001525878906,5083200,38.459999084472656
2006-12-13,39.18999862670898,38.18999862670898,4677800,38.5
2006-12-14,39.540000915527344,38.59999847412109,6296100,39.02000045776367
2006-12-15,40.18999862670898,39.22999954223633,8153500,40.0099983215332
